size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions,name
"(1000, 1000)",7,120.0,1.0,1.0,0.25,True,52985.0,0,True,"[(1.2217886447906494, 52985)]",A*
"(1000, 1000)",7,120.0,,,0.25,False,inf,0,True,"[(1.237194299697876, 52985), (2.524261236190796, 52985), (3.8223414421081543, 52985), (5.071156740188599, 52985), (6.369845151901245, 52985), (7.611890554428101, 52985), (8.90384578704834, 52985), (10.230350494384766, 52985), (11.476350545883179, 52985), (12.767252445220947, 52985), (14.075480937957764, 52985), (15.32663893699646, 52985), (16.62512969970703, 52985), (17.869681358337402, 52985), (19.156180143356323, 52985), (20.492909908294678, 52985), (21.734076261520386, 52985), (23.0235915184021, 52985), (24.32589626312256, 52985), (25.577850341796875, 52985), (26.876423120498657, 52985), (28.123303174972534, 52985), (29.41310453414917, 52985), (30.74792242050171, 52985), (31.993109703063965, 52985), (33.27920603752136, 52985), (34.525275468826294, 52985), (35.80672359466553, 52985), (37.10136556625366, 52985), (38.34332036972046, 52985), (39.63644766807556, 52985), (40.95540928840637, 52985), (42.195785999298096, 52985), (43.480146408081055, 52985), (44.77630949020386, 52985), (46.023499727249146, 52985), (47.31206464767456, 52985), (48.61219906806946, 52985), (49.86546087265015, 52985), (51.17720174789429, 52985), (52.47830247879028, 52985), (53.72713661193848, 52985), (55.02189755439758, 52985), (56.267054319381714, 52985), (57.555787086486816, 52985), (58.85684657096863, 52985), (60.10938239097595, 52985), (61.42119526863098, 52985), (62.72270965576172, 52985), (63.97071862220764, 52985), (65.26971411705017, 52985), (66.51816749572754, 52985), (67.80678415298462, 52985), (69.11580109596252, 52985), (70.37315320968628, 52985), (71.68802905082703, 52985), (72.99453091621399, 52985), (74.24579763412476, 52985), (75.5443503856659, 52985), (76.79026007652283, 52985), (78.07780528068542, 52985), (79.38122296333313, 52985), (80.66830611228943, 52985), (81.95909094810486, 52985), (83.26442623138428, 52985), (84.51776218414307, 52985), (85.82132720947266, 52985), (87.06372213363647, 52985), (88.35037422180176, 52985), (89.64981412887573, 52985), (90.9292562007904, 52985), (92.2148904800415, 52985), (93.52005338668823, 52985), (94.76747989654541, 52985), (96.06186747550964, 52985), (97.36625266075134, 52985), (98.61555600166321, 52985), (99.91278576850891, 52985), (101.19045639038086, 52985), (102.47743511199951, 52985), (103.78304886817932, 52985), (105.03407764434814, 52985), (106.32840394973755, 52985), (107.6337571144104, 52985), (108.88454699516296, 52985), (110.17988753318787, 52985), (111.45839238166809, 52985), (112.74735236167908, 52985), (114.04970645904541, 52985), (115.29537653923035, 52985), (116.59146308898926, 52985), (117.89422845840454, 52985), (119.14359641075134, 52985)]",Greedy Best First
"(1000, 1000)",7,120.0,2.5,1.0,0.25,False,52985.0,0,True,"[(1.125063419342041, 52985), (2.3568167686462402, 52985), (3.5598270893096924, 52985), (4.6907384395599365, 52985), (5.950751543045044, 52985), (7.1031739711761475, 52985), (8.394246101379395, 52985)]",AW-A*
"(1000, 1000)",7,120.0,1.0,1.0,0.25,False,52985.0,0,True,"[(1.2586405277252197, 52985)]",A*
"(1000, 1000)",7,120.0,,,0.5,True,inf,0,True,"[(1.2245066165924072, 52985), (2.5169451236724854, 52985), (3.82331919670105, 52985), (5.081415414810181, 52985), (6.380349397659302, 52985), (7.686922311782837, 52985), (8.974239826202393, 52985), (10.274302959442139, 52985), (11.522469758987427, 52985), (12.81139588356018, 52985), (14.115773916244507, 52985), (15.36887264251709, 52985), (16.676369667053223, 52985), (18.00230622291565, 52985), (19.27911639213562, 52985), (20.581183433532715, 52985), (21.894572257995605, 52985), (23.15441107749939, 52985), (24.462267875671387, 52985), (25.71560525894165, 52985), (27.008899688720703, 52985), (28.335986137390137, 52985), (29.6045982837677, 52985), (30.90943217277527, 52985), (32.2255597114563, 52985), (33.48663091659546, 52985), (34.79196810722351, 52985), (36.11182165145874, 52985), (37.37504529953003, 52985), (38.70662474632263, 52985), (39.965096950531006, 52985), (41.26205897331238, 52985), (42.569727182388306, 52985), (43.83009362220764, 52985), (45.13587546348572, 52985), (46.44824004173279, 52985), (47.7066011428833, 52985), (49.04200625419617, 52985), (50.35820722579956, 52985), (51.620059967041016, 52985), (52.92654347419739, 52985), (54.18195915222168, 52985), (55.47623562812805, 52985), (56.784546852111816, 52985), (58.06031155586243, 52985), (59.37739896774292, 52985), (60.694852352142334, 52985), (61.9585485458374, 52985), (63.265963077545166, 52985), (64.5825126171112, 52985), (65.84235787391663, 52985), (67.14802360534668, 52985), (68.42219376564026, 52985), (69.72899270057678, 52985), (71.03867530822754, 52985), (72.29516458511353, 52985), (73.59559035301208, 52985), (74.90974545478821, 52985), (76.16689586639404, 52985), (77.46741056442261, 52985), (78.80396151542664, 52985), (80.06320929527283, 52985), (81.36945796012878, 52985), (82.6238648891449, 52985), (83.91726088523865, 52985), (85.22766256332397, 52985), (86.48299789428711, 52985), (87.78324818611145, 52985), (89.12914967536926, 52985), (90.38772296905518, 52985), (91.69110178947449, 52985), (93.0049340724945, 52985), (94.26534414291382, 52985), (95.57680296897888, 52985), (96.83302140235901, 52985), (98.13862466812134, 52985), (99.47099661827087, 52985), (100.73308491706848, 52985), (102.03690147399902, 52985), (103.35192656517029, 52985), (104.61434245109558, 52985), (105.91920065879822, 52985), (107.2342677116394, 52985), (108.50916290283203, 52985), (109.82817459106445, 52985), (111.08636951446533, 52985), (112.37962460517883, 52985), (113.68978023529053, 52985), (114.9487874507904, 52985), (116.2481803894043, 52985), (117.5659658908844, 52985), (118.84605169296265, 52985)]",Greedy Best First
"(1000, 1000)",7,120.0,2.5,1.0,0.5,True,52985.0,0,True,"[(1.1647744178771973, 52985), (2.361454963684082, 52985), (3.5872642993927, 52985), (4.838820219039917, 52985)]",AW-A*
"(1000, 1000)",7,120.0,1.0,1.0,0.5,True,52985.0,0,True,"[(1.2173714637756348, 52985)]",A*
"(1000, 1000)",7,120.0,,,0.5,False,inf,0,True,"[(1.247617244720459, 52985), (2.5382933616638184, 52985), (3.842099666595459, 52985), (5.096916437149048, 52985), (6.3930933475494385, 52985), (7.699957847595215, 52985), (8.952386617660522, 52985), (10.276089668273926, 52985), (11.581599712371826, 52985), (12.830705642700195, 52985), (14.125114440917969, 52985), (15.36668848991394, 52985), (16.65550136566162, 52985), (17.958808660507202, 52985), (19.204057931900024, 52985), (20.522493600845337, 52985), (21.83053946495056, 52985), (23.07556462287903, 52985), (24.368135452270508, 52985), (25.608879804611206, 52985), (26.898462295532227, 52985), (28.19895339012146, 52985), (29.44299817085266, 52985), (30.75809407234192, 52985), (32.06935429573059, 52985), (33.318833351135254, 52985), (34.61380577087402, 52985), (35.859291076660156, 52985), (37.145336866378784, 52985), (38.44794464111328, 52985), (39.693077087402344, 52985), (41.01553726196289, 52985), (42.31478309631348, 52985), (43.562838077545166, 52985), (44.8569769859314, 52985), (46.09998345375061, 52985), (47.38304352760315, 52985), (48.6837477684021, 52985), (49.93462562561035, 52985), (51.25288224220276, 52985), (52.553894996643066, 52985), (53.79863715171814, 52985), (55.09050393104553, 52985), (56.39218759536743, 52985), (57.642406702041626, 52985), (58.93629550933838, 52985), (60.18031883239746, 52985), (61.50251483917236, 52985), (62.80342960357666, 52985), (64.04729008674622, 52985), (65.33706760406494, 52985), (66.63971209526062, 52985), (67.88982963562012, 52985), (69.1867024898529, 52985), (70.44219875335693, 52985), (71.75468325614929, 52985), (73.05513548851013, 52985), (74.30003356933594, 52985), (75.591383934021, 52985), (76.89369058609009, 52985), (78.14514470100403, 52985), (79.43954014778137, 52985), (80.71620798110962, 52985), (82.00260496139526, 52985), (83.30385828018188, 52985), (84.5531792640686, 52985), (85.84625673294067, 52985), (87.1570475101471, 52985), (88.40420246124268, 52985), (89.69716334342957, 52985), (90.97279524803162, 52985), (92.25398445129395, 52985), (93.55096673965454, 52985), (94.79478287696838, 52985), (96.08728003501892, 52985), (97.38974380493164, 52985), (98.63544178009033, 52985), (99.92529106140137, 52985), (101.26205086708069, 52985), (102.50641942024231, 52985), (103.79569983482361, 52985), (105.03660821914673, 52985), (106.32348942756653, 52985), (107.62442541122437, 52985), (108.86828684806824, 52985), (110.18733358383179, 52985), (111.49204230308533, 52985), (112.740079164505, 52985), (114.03220248222351, 52985), (115.27257919311523, 52985), (116.5576684474945, 52985), (117.85770750045776, 52985), (119.10020804405212, 52985)]",Greedy Best First
"(1000, 1000)",7,120.0,2.5,1.0,0.5,False,52985.0,0,True,"[(1.2052369117736816, 52985), (2.4070804119110107, 52985), (3.638338565826416, 52985), (4.8929667472839355, 52985)]",AW-A*
"(1000, 1000)",7,120.0,1.0,1.0,0.5,False,52985.0,0,True,"[(1.224992036819458, 52985)]",A*
