size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(2000, 2000)",7,120.0,2.0,1.0,0.5,False,16731.0,20000,True,"[(22.67877197265625, 16751), (47.70549035072327, 16731), (73.14172124862671, 16731)]"
"(2000, 2000)",7,0.2,2.5,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.5,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.5,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.5,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.5,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.5,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.5,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.5,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.5,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.5,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.5,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.5,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,30.0,2.5,1.0,0.25,True,16751.0,20000,True,"[(20.01313090324402, 16751)]"
"(2000, 2000)",7,30.0,2.5,1.0,0.25,False,16751.0,20000,True,"[(20.043060541152954, 16751)]"
"(2000, 2000)",7,30.0,2.5,1.0,0.5,True,16751.0,20000,True,"[(20.08678698539734, 16751)]"
"(2000, 2000)",7,30.0,2.5,1.0,0.5,False,16751.0,20000,True,"[(20.4164400100708, 16751)]"
"(2000, 2000)",7,60.0,2.5,1.0,0.25,True,16751.0,20000,True,"[(20.16355323791504, 16751), (41.795515298843384, 16751)]"
"(2000, 2000)",7,60.0,2.5,1.0,0.25,False,16751.0,20000,True,"[(20.210928916931152, 16751), (41.950477838516235, 16751)]"
"(2000, 2000)",7,60.0,2.5,1.0,0.5,True,16751.0,20000,True,"[(20.31898045539856, 16751), (43.154112339019775, 16751)]"
"(2000, 2000)",7,60.0,2.5,1.0,0.5,False,16751.0,20000,True,"[(19.938579320907593, 16751), (42.74075174331665, 16751)]"
"(2000, 2000)",7,120.0,2.5,1.0,0.25,True,16731.0,20000,True,"[(20.242457628250122, 16751), (41.90961718559265, 16751), (64.88200330734253, 16751), (89.20028734207153, 16743), (113.98299050331116, 16731)]"
